year,state,state_po,candidate,party_detailed,candidatevotes,totalvotes,party_simplified
2020,NEBRASKA,NE,"BIDEN, JOSEPH R. JR",DEMOCRAT,374583,956383,DEMOCRAT
2020,NEBRASKA,NE,"TRUMP, DONALD J.",REPUBLICAN,556846,956383,REPUBLICAN
2020,NEW HAMPSHIRE,NH,"BIDEN, JOSEPH R. JR",DEMOCRAT,424921,806182,DEMOCRAT
2020,NEW HAMPSHIRE,NH,"TRUMP, DONALD J.",REPUBLICAN,365654,806182,REPUBLICAN
2020,NEW JERSEY,NJ,"BIDEN, JOSEPH R. JR",DEMOCRAT,2608335,4549353,DEMOCRAT
2020,NEW JERSEY,NJ,"TRUMP, DONALD J.",REPUBLICAN,1883274,4549353,REPUBLICAN
2020,NEW MEXICO,NM,"BIDEN, JOSEPH R. JR",DEMOCRAT,501614,923965,DEMOCRAT
2020,NEW MEXICO,NM,"TRUMP, DONALD J.",REPUBLICAN,401894,923965,REPUBLICAN
2020,NEVADA,NV,"BIDEN, JOSEPH R. JR",DEMOCRAT,703486,1405376,DEMOCRAT
2020,NEVADA,NV,"TRUMP, DONALD J.",REPUBLICAN,669890,1405376,REPUBLICAN
2020,NEW YORK,NY,"BIDEN, JOSEPH R. JR",DEMOCRAT,5230985,8661735,DEMOCRAT
2020,NEW YORK,NY,"TRUMP, DONALD J.",REPUBLICAN,3244798,8661735,REPUBLICAN
2020,OHIO,OH,"BIDEN, JOSEPH R. JR",DEMOCRAT,2679165,5922202,DEMOCRAT
2020,OHIO,OH,"TRUMP, DONALD J.",REPUBLICAN,3154834,5922202,REPUBLICAN
2020,OKLAHOMA,OK,"BIDEN, JOSEPH R. JR",DEMOCRAT,503890,1560699,DEMOCRAT
2020,OKLAHOMA,OK,"TRUMP, DONALD J.",REPUBLICAN,1020280,1560699,REPUBLICAN
2020,OREGON,OR,"BIDEN, JOSEPH R. JR",DEMOCRAT,1340383,2374321,DEMOCRAT
2020,OREGON,OR,"TRUMP, DONALD J.",REPUBLICAN,958448,2374321,REPUBLICAN
2020,PENNSYLVANIA,PA,"BIDEN, JOSEPH R. JR",DEMOCRAT,3458229,6915283,DEMOCRAT
2020,PENNSYLVANIA,PA,"TRUMP, DONALD J.",REPUBLICAN,3377674,6915283,REPUBLICAN
2020,RHODE ISLAND,RI,"BIDEN, JOSEPH R. JR",DEMOCRAT,307486,516990,DEMOCRAT
2020,RHODE ISLAND,RI,"TRUMP, DONALD J.",REPUBLICAN,199922,516990,REPUBLICAN
2020,SOUTH CAROLINA,SC,"BIDEN, JOSEPH R. JR",DEMOCRAT,1091541,2514096,DEMOCRAT
2020,SOUTH CAROLINA,SC,"TRUMP, DONALD J.",REPUBLICAN,1385103,2514096,REPUBLICAN
2020,SOUTH DAKOTA,SD,"BIDEN, JOSEPH R. JR",DEMOCRAT,150471,422609,DEMOCRAT
2020,SOUTH DAKOTA,SD,"TRUMP, DONALD J.",REPUBLICAN,261043,422609,REPUBLICAN
2020,TENNESSEE,TN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1143711,3053851,DEMOCRAT
2020,TENNESSEE,TN,"TRUMP, DONALD J.",REPUBLICAN,1852475,3053851,REPUBLICAN
2020,TEXAS,TX,"BIDEN, JOSEPH R. JR",DEMOCRAT,5259126,11315056,DEMOCRAT
2020,TEXAS,TX,"TRUMP, DONALD J.",REPUBLICAN,5890347,11315056,REPUBLICAN
2020,UTAH,UT,"BIDEN, JOSEPH R. JR",DEMOCRAT,560282,1488289,DEMOCRAT
2020,UTAH,UT,"TRUMP, DONALD J.",REPUBLICAN,865140,1488289,REPUBLICAN
2020,VIRGINIA,VA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2413568,4460524,DEMOCRAT
2020,VIRGINIA,VA,"TRUMP, DONALD J.",REPUBLICAN,1962430,4460524,REPUBLICAN
2020,VERMONT,VT,"BIDEN, JOSEPH R. JR",DEMOCRAT,242820,370968,DEMOCRAT
2020,VERMONT,VT,"TRUMP, DONALD J.",REPUBLICAN,112704,370968,REPUBLICAN
2020,WASHINGTON,WA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2369612,4087631,DEMOCRAT
2020,WASHINGTON,WA,"TRUMP, DONALD J.",REPUBLICAN,1584651,4087631,REPUBLICAN
2020,WISCONSIN,WI,"BIDEN, JOSEPH R. JR",DEMOCRAT,1630866,3298041,DEMOCRAT
2020,WISCONSIN,WI,"TRUMP, DONALD J.",REPUBLICAN,1610184,3298041,REPUBLICAN
2020,WEST VIRGINIA,WV,"BIDEN, JOSEPH R. JR",DEMOCRAT,235984,794652,DEMOCRAT
2020,WEST VIRGINIA,WV,"TRUMP, DONALD J.",REPUBLICAN,545382,794652,REPUBLICAN
2020,WYOMING,WY,"BIDEN, JOSEPH R. JR",DEMOCRAT,73491,278503,DEMOCRAT
2020,WYOMING,WY,"TRUMP, DONALD J.",REPUBLICAN,193559,278503,REPUBLICAN
